originalStudy;citingStudy
Afuah & Tucci (2003);Dubosson-Torbay et al. (2002)
Afuah & Tucci (2003);Bouwman (2003)
Afuah & Tucci (2003);Bouwman & Van den Ham (2004)
Afuah & Tucci (2003);Osterwalder et al. (2005)
Afuah & Tucci (2003);Yu (2006)
Afuah & Tucci (2003);Kijl & Boersma (2010)
Afuah & Tucci (2003);Wirtz (2020)
Afuah & Tucci (2003);Di Valentin et al. (2012a)
Afuah & Tucci (2003);Di Valentin et al. (2012b)
Afuah & Tucci (2003);Yu (2014)
Afuah & Tucci (2003);Heikkilä et al. (2016)
Afuah & Tucci (2003);Lüdeke-Freund et al. (2017)
Afuah & Tucci (2003);Kostin et al. (2021)
Dubosson-Torbay et al. (2002);Bouwman (2003)
Dubosson-Torbay et al. (2002);Wirtz (2020)
Dubosson-Torbay et al. (2002);Heikkilä et al. (2016)
Bouwman (2003);Heikkilä et al. (2014)
Bouwman (2003);Heikkilä et al. (2016)
Bouwman & Van den Ham (2004);Heikkilä et al. (2016)
Osterwalder et al. (2005);Kijl & Boersma (2010)
Osterwalder et al. (2005);Wirtz (2020)
Osterwalder et al. (2005);Di Valentin et al. (2012b)
Osterwalder et al. (2005);Di Valentin et al. (2013)
Osterwalder et al. (2005);Morioka et al. (2016)
Osterwalder et al. (2005);Díaz-Díaz et al. (2017)
Osterwalder et al. (2005);Lüdeke-Freund et al. (2017)
Osterwalder et al. (2005);Augenstein & Fleig (2018)
Osterwalder et al. (2005);Kostin et al. (2021)
Johnson et al. (2008);Wirtz (2020)
Johnson et al. (2008);Heikkilä et al. (2016)
Johnson et al. (2008);Lüdeke-Freund et al. (2017)
Heikkilä et al. (2010);Heikkilä et al. (2014)
Heikkilä et al. (2010);Heikkilä et al. (2016)
Kijl & Boersma (2010);Batocchio et al. (2017)
Kijl & Boersma (2010);Minatogawa et al. (2020)
Wirtz (2020);Heikkilä et al. (2016)
Wirtz (2020);Lüdeke-Freund et al. (2017)
Wirtz (2020);Augenstein & Fleig (2018)
Di Valentin et al. (2012a);Di Valentin et al. (2012b)
Di Valentin et al. (2012a);Di Valentin et al. (2013)
Di Valentin et al. (2012b);Heikkilä et al. (2016)
Heikkilä et al. (2014);Heikkilä et al. (2016)
Heikkilä et al. (2014);Díaz-Díaz et al. (2017)
Heikkilä et al. (2014);Montemari et al. (2019)
Heikkilä et al. (2016);Gilsing et al. (2021b)
Morioka et al. (2016);Minatogawa et al. (2020)
Batocchio et al. (2017);Minatogawa et al. (2020)
Batocchio et al. (2017);Stalmachova et al. (2022)
Díaz-Díaz et al. (2017);Gilsing et al. (2021b)
Nielsen et al. (2017);Montemari et al. (2019)
